Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
757450,K00889.01,CANDIDATE,CONFIRMED,19 24 33.025,+36 34 38.57,169.99111,8.8849176,15827,2.0809,,0.02,89.95,0.077,0,,0.112,36.3,9.4,721,5152,4.54,,0.77,0.77,12.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),759.3,,2.07,10/25/13 0:00
892772,K01009.01,FALSE POSITIVE,FALSE POSITIVE,19 24 36.811,+36 40 43.83,357.5365,5.092505,284,3.5648,,0.21,88.81,0.055,0,,0.015,10.9,1.35,829,4858,4.55,,0.82,0.87,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),17.5,,1.28,10/25/13 0:00
1026957,K00958.01,FALSE POSITIVE,FALSE POSITIVE,19 25 01.077,+36 44 37.00,166.54036,21.761277,1236,1.5138,,0.916,88.81,0.136,0,,0.04,54,3.1,493,4917,4.6,,0.7,0.713,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),138,,0.96,10/25/13 0:00
1027438,K01010.01,FALSE POSITIVE,FALSE POSITIVE,19 25 24.968,+36 47 04.27,145.84,110.616,27,5,,0.93,89.38,0.489,0,,0.005,65,0.91,512,6507,4.16,,1.56,1.27,2.87,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1.5,,1.28,10/25/13 0:00
1161345,K00984.01,CANDIDATE,CANDIDATE,19 24 11.712,+36 50 23.58,262.06411,4.2873775,1071,1.548,,0.69,87.66,0.052,0,,0.032,16.3,3.19,1023,5515,4.51,,0.92,1.01,1.3,SPC,,,1,,Mandel and Agol (2002, ApJ,580, 171),159.8,,1.38,10/25/13 0:00
1293031,K04162.01,FALSE POSITIVE,FALSE POSITIVE,19 24 05.032,+36 54 13.13,131.9348,0.5394074,45.9,2,0.015,0.4,78,0.015,0,,0.006,1.9,1.82,3704,,,,2.625,,,,,1812,1,1,mandel-agol_geometric_transit_model,14.4,20485.88,16995.06,7/31/13 0:00,,,
1430305,K04873.01,FALSE POSITIVE,FALSE POSITIVE,19 23 42.912,+37 05 06.90,431.337,359.3203,288,9.3,0.2,0,89.9,1.13,0,,0.016,289,3.9,407,,,,2.243,,,,,3,1,0.866,mandel-agol_geometric_transit_model,7.2,151.89,120.37,7/31/13 0:00,,,
1431122,K00994.01,CANDIDATE,CANDIDATE,19 24 34.197,+37 03 40.76,132.8642,4.298863,173,2.4503,,0.73,85.37,0.049,0,,0.013,9.4,1.28,1021,5461,4.47,,0.88,0.839,10.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),22.5,,1.19,10/25/13 0:00
1432214,K00998.01,CANDIDATE,CANDIDATE,19 25 31.846,+37 04 22.76,214.03849,161.78811,85442,5.2038,,0.182,89.95,0.592,0,,0.268,298.1,28,341,6069,4.5,,0.96,1.06,0.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1023.2,,21.92,10/25/13 0:00
1432789,K00992.01,CANDIDATE,CANDIDATE,19 25 59.861,+37 03 33.41,136.4865,9.93161,362,5.8836,,0.792,84.8,0.09,0,,0.019,8.32,1.85,806,5841,4.54,,0.88,0.986,0.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),28.8,,1.33,10/25/13 0:00
1433962,K00982.01,FALSE POSITIVE,FALSE POSITIVE,19 27 02.871,+37 05 55.10,133.9181,1.5926501,1038,6.0472,,0.03,89.38,0.023,0,,0.029,2.153,1.87,1014,4502,4.68,,0.6,0.63,13.6,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),131,,4.87,10/25/13 0:00
1433980,K03924.01,FALSE POSITIVE,FALSE POSITIVE,19 27 03.918,+37 05 49.89,132.2534146,1.592746615,3054.3,6,0.293032,0.1,87.3,0.029,0,,0.051,2.121,9.485,2166.7,,,,1.71,,,,,0,1,-1,mandel-agol_geometric_transit_model,,,,7/31/13 0:00,,,
1571511,K00362.01,FALSE POSITIVE,FALSE POSITIVE,19 23 59.260,+37 11 57.19,177.594552,14.0224519,20256,8.0503,,0,89.95,0.115,0,,0.129,15.043,14.7,802,6054,4.42,,1.04,1.03,3.3,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),4293.3,,2.86,10/25/13 0:00
1575690,K03658.01,FALSE POSITIVE,FALSE POSITIVE,19 27 31.655,+37 11 20.80,132.432373,1.12621601,26993,1.7547,0.508,0.757,80,0.018,0,,0.168,4.362,15.109,1219.8,,,,0.823,,,,,685,1,0,mandel-agol_geometric_transit_model,489,6777.53,13692.11,7/31/13 0:00,,,
